1.660042554140090942e-01,6.994559764862060547e-01,4.763555807585362345e-07
2.504654526710510254e-01,6.709398031234741211e-01,-3.249168395996093750e-02
3.177542984485626221e-01,5.909695625305175781e-01,-4.369781166315078735e-02
3.586638569831848145e-01,5.142905712127685547e-01,-5.289672315120697021e-02
4.002130031585693359e-01,4.658284187316894531e-01,-6.165948510169982910e-02
2.778707742691040039e-01,4.251798391342163086e-01,-2.160967700183391571e-02
3.084281384944915771e-01,3.248846828937530518e-01,-4.052847623825073242e-02
3.227994143962860107e-01,2.576791644096374512e-01,-5.725688859820365906e-02
3.326115012168884277e-01,1.998952031135559082e-01,-7.057318091392517090e-02
2.243219316005706787e-01,3.977876305580139160e-01,-2.311183698475360870e-02
2.434168905019760132e-01,2.780826091766357422e-01,-3.937341645359992981e-02
2.542034089565277100e-01,2.038498073816299438e-01,-5.454036220908164978e-02
2.630515992641448975e-01,1.411880254745483398e-01,-6.612710654735565186e-02
1.717152297496795654e-01,4.005230963230133057e-01,-2.946443855762481689e-02
1.745390743017196655e-01,2.855097055435180664e-01,-4.967521503567695618e-02
1.791431754827499390e-01,2.137584537267684937e-01,-6.665886938571929932e-02
1.862886548042297363e-01,1.539086699485778809e-01,-7.867097854614257812e-02
1.191057935357093811e-01,4.297416210174560547e-01,-3.912093117833137512e-02
8.589200675487518311e-02,3.447425365447998047e-01,-6.279543042182922363e-02
6.771421432495117188e-02,2.847292125225067139e-01,-7.660622894763946533e-02
5.728265643119812012e-02,2.264345884323120117e-01,-8.505225181579589844e-02
